Season,Winner,Winner's Points,Runner-up,Runner-up's Points,Third Place,Third Place's Points,Top Scorer,Top scorer's club(s),Goals
1942–43,Athletic Bilbao  ,36,Sevilla ,33,Barcelona ,32,Mariano Martín,Barcelona,32
1943–44,Valencia ,40,Atlético Aviación ,34,Sevilla ,32,Edmundo Suárez,Valencia,27
1944–45,Barcelona ,39,Real Madrid ,38,Atlético Aviación ,31,Telmo Zarra,Atlético Bilbao,19
1945–46,Sevilla ,36,Barcelona ,35,Athletic Bilbao ,35,Telmo Zarra,Atlético Bilbao,24
1946–47,Valencia ,34,Athletic Bilbao ,34,Atlético Aviación ,32,Telmo Zarra,Atlético Bilbao,34
1947–48,Barcelona ,37,Valencia ,34,Atlético Madrid ,33,Pahiño,Celta Vigo,23
1948–49,Barcelona ,37,Valencia ,35,Real Madrid ,34,César Rodríguez Álvarez,Barcelona,28
1949–50,Atlético Madrid ,33,Deportivo La Coruña ,32,Valencia ,31,Telmo Zarra,Athletic Bilbao,25
1950–51,Atlético Madrid ,40,Sevilla ,38,Valencia ,37,Telmo Zarra,Athletic Bilbao,38
1951–52,Barcelona  ,43,Athletic Bilbao ,40,Real Madrid ,38,Pahiño,Real Madrid,28
1952–53,Barcelona  ,42,Valencia ,40,Real Madrid ,39,Telmo Zarra,Athletic Bilbao,24
1953–54,Real Madrid ,40,Barcelona ,36,Valencia ,34,Alfredo Di Stéfano,Real Madrid,27
1954–55,Real Madrid ,46,Barcelona ,41,Athletic Bilbao ,39,Juan Arza,Sevilla,28
1955–56,Athletic Bilbao  ,48,Barcelona ,47,Real Madrid ,38,Alfredo Di Stéfano,Real Madrid,24
1956–57,Real Madrid  ,44,Sevilla ,39,Barcelona ,39,Alfredo Di Stéfano,Real Madrid,31
1957–58,Real Madrid  ,45,Atlético Madrid ,42,Barcelona ,38,Manuel BadenesAlfredo Di StéfanoRicardo,ValladolidReal MadridValencia,19
